year,farm code,farm_acreage,species,produced_quantity,crop_acreage,hours_of_machines_ha,nitrogen_ha,phosphorus_ha,potassium_ha,fert_area,Herbicide_Qt Tox-0,Herbicide_Qt Tox-1,Herbicide_Qt Tox-2,Herbicide_Qt Tox-3,Herbicide_Qt Tox-4,Insecticide_Qt Tox-0,Insecticide_Qt Tox-1,Insecticide_Qt Tox-2,Insecticide_Qt Tox-3,Insecticide_Qt Tox-4,Fungicide_Qt Tox-0,Fungicide_Qt Tox-1,Fungicide_Qt Tox-2,Fungicide_Qt Tox-3,Fungicide_Qt Tox-4
2008,2702008010416000001,91.98,durum_wheat,1250.0,35.21,0.0,-888.0,-888.0,-888.0,35.21,29.9285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010431000001,57.46,durum_wheat,729.0,16.19,3.96046942557134,-888.0,-888.0,-888.0,16.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010435000001,24.37,durum_wheat,160.0,5.66,3.653710247349823,-888.0,-888.0,-888.0,5.66,37.016400000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010437000001,59.0,durum_wheat,2726.0,40.0,3.9385,-888.0,-888.0,-888.0,40.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010446000001,20.0,durum_wheat,125.0,5.0,2.77,-888.0,-888.0,-888.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0
2008,2702008010447000001,38.13,durum_wheat,1166.0,30.99,4.989351403678606,-888.0,-888.0,-888.0,30.99,20.1435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.1364,0.0,0.0,0.0,0.0
2008,2702008010453000001,26.87,durum_wheat,339.0,7.55,1.8463576158940398,-888.0,-888.0,-888.0,7.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0045,0.0,0.0,0.0,0.0
2008,2702008010454000001,47.0,durum_wheat,1240.0,31.0,1.7667741935483872,-888.0,-888.0,-888.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.949999999999996,0.0,0.0,0.0,0.0
2008,2702008010455000001,18.0,durum_wheat,222.0,5.0,2.216,-888.0,-888.0,-888.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010463000001,152.19,durum_wheat,1657.0,35.25,0.0,-888.0,-888.0,-888.0,35.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.17,0.0,0.0,0.0,0.0
