year,farm code,species,farm_acreage,produced_quantity,PLV,crop_acreage,hours_of_machines_ha,fert_costs,phyto_costs,energy_costs,thirdy_costs,human_costs,machinery_costs,wheat_price,Mineral_fert_area,Mineral_whole_qt_ha,Mineral_unit_cost,Mineral_distribuited_value,Mineral_nitrogen_ha,Mineral_phosphorus_ha,Mineral_potassium_ha,OrganoMineral_fert_area,OrganoMineral_whole_qt_ha,OrganoMineral_unit_cost,OrganoMineral_distribuited_value,OrganoMineral_nitrogen_ha,OrganoMineral_phosphorus_ha,OrganoMineral_potassium_ha,Other_fert_area,Other_whole_qt_ha,Other_unit_cost,Other_distribuited_value,Other_nitrogen_ha,Other_phosphorus_ha,Other_potassium_ha,Micro_Mineral_fert_area,Micro_Mineral_whole_qt_ha,Micro_Mineral_unit_cost,Micro_Mineral_distribuited_value,Micro_Mineral_nitrogen_ha,Micro_Mineral_phosphorus_ha,Micro_Mineral_potassium_ha,Herbicide_Qt Tox-0,Herbicide_Qt Tox-1,Herbicide_Qt Tox-2,Herbicide_Qt Tox-3,Herbicide_Qt Tox-4,Insecticide_Qt Tox-0,Insecticide_Qt Tox-1,Insecticide_Qt Tox-2,Insecticide_Qt Tox-3,Insecticide_Qt Tox-4,Fungicide_Qt Tox-0,Fungicide_Qt Tox-1,Fungicide_Qt Tox-2,Fungicide_Qt Tox-3,Fungicide_Qt Tox-4,crop_yield,PLV_2_Qt,phyto_costs_2_Qt,fert_costs_2_Qt,herbicide_ha,insecticide_ha,fungicide_ha,herbicide_inefficiency,insecticide_inefficiency,fungicide_inefficiency,phyto_inefficiency,N_ha,P_ha,K_ha,ferti_inefficiency,hours_of_machines_inefficiency,cluster
2016.0,2.812008020206e+18,durum_wheat,170.57,2480.0,51669.0,66.68,6.75,5590.0,3800.0,0.0,0.0,10400.0,7200.0,20.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,3.0,31.0,5590.0,124.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.192561487702456,20.83427419354839,1.532258064516129,2.254032258064516,0.014247150569886,0.0,0.0,0.000383064516129,0.0,0.0,0.000383064516129,3.3447548387096777,0.0,0.0,3.3447548387096777,0.1814879032258064,0
2016.0,2.812008020213e+18,durum_wheat,16.28,217.0,4765.0,5.6,14.29,561.0,700.0,0.0,0.0,1120.0,1280.0,21.96,6.0,2.0,50.0,561.0,92.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,38.75,21.95852534562212,3.225806451612903,2.585253456221198,0.0321428571428571,0.0,0.0035714285714285,0.0008294930875576,0.0,9.216589861751152e-05,0.0009216589861751,2.386322580645161,0.0,0.0,2.386322580645161,0.3687741935483871,0
2016.0,2.812008020416e+18,durum_wheat,74.74,2000.0,32434.0,38.48,12.5,6693.0,5518.0,0.0,0.0,7696.0,7696.0,16.22,38.0,6.0,35.2,1338.8,120.11,52.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,1.04,0.0,51.97505197505198,16.217,2.759,3.3465,0.087058212058212,0.0041580041580041,0.027027027027027,0.001675,7.999999999999999e-05,0.00052,0.002275,2.3109163999999995,1.0016344,0.0,3.3125507999999995,0.2404999999999999,0
2016.0,2.812008020418e+18,durum_wheat,47.41,300.0,4620.0,7.37,12.98,800.0,700.0,0.0,800.0,1440.0,1120.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,32.0,800.0,156.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.70556309362279,15.4,2.3333333333333335,2.6666666666666665,0.21438263229308,0.0,0.0,0.0052666666666666,0.0,0.0,0.0052666666666666,3.8333826666666666,0.0,0.0,3.8333826666666666,0.3188753333333333,0
2016.0,2.812008020423e+18,durum_wheat,88.66,1350.0,23970.0,34.14,8.36,2500.0,1500.0,0.0,1100.0,6560.0,4000.0,17.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,31.0,2500.0,108.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.54305799648506,17.755555555555556,1.1111111111111112,1.851851851851852,0.0213825424721734,0.0,0.0,0.0005407407407407,0.0,0.0,0.0005407407407407,2.7478906666666667,0.0,0.0,2.7478906666666667,0.2114151111111111,0
2016.0,2.812008020424e+18,durum_wheat,25.59,741.0,13984.0,14.26,17.49,2523.0,2088.0,0.0,2230.0,2848.0,2848.0,18.87,14.0,5.0,33.0,2523.0,246.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,51.96353436185133,18.871794871794872,2.817813765182186,3.4048582995951415,0.1325385694249649,0.0,0.0687237026647966,0.0025506072874493,0.0,0.0013225371120107,0.0038731443994601,4.746212955465587,0.0,0.0,4.746212955465587,0.3365821862348178,0
2016.0,2.812008020508e+18,durum_wheat,23.55,1121.0,18597.0,12.89,27.31,2027.0,440.0,0.0,2400.0,5700.0,9330.0,16.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,36.0,650.0,37.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.58965209634255,0.3925066904549509,1.808206958073149,0.073700543056633,0.0,0.0,0.0008474576271186,0.0,0.0,0.0008474576271186,0.4348793933987511,0.0,0.0,0.4348793933987511,0.314028456735058,4
2016.0,2.812008020514e+18,durum_wheat,10.94,48.0,896.0,0.97,13.56,118.0,84.0,0.0,135.0,640.0,250.0,18.67,1.0,4.0,33.0,59.0,132.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,49.48453608247423,18.666666666666668,1.75,2.4583333333333335,1.0618556701030928,0.0,1.5154639175257731,0.0214583333333333,0.0,0.030625,0.0520833333333333,2.6771999999999996,0.0,0.0,2.6771999999999996,0.274025,7
2016.0,2.812008020608e+18,durum_wheat,9.09,98.0,2046.0,8.74,4.0,212.0,37.0,0.0,0.0,550.0,455.0,20.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,46.0,212.0,18.61,12.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.877551020408163,0.3775510204081632,2.163265306122449,0.0091533180778032,0.0,0.0,0.0008163265306122,0.0,0.0,0.0008163265306122,1.659708163265306,1.0907163265306123,0.0,2.7504244897959182,0.356734693877551,0
2016.0,2.812008020638e+18,durum_wheat,40.49,627.0,11776.0,19.0,10.53,400.0,0.0,0.0,0.0,1890.0,2800.0,18.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,51.0,400.0,7.38,18.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,33.0,18.781499202551835,0.0,0.6379585326953748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2236363636363636,0.5718181818181819,0.0,0.7954545454545455,0.3190909090909091,4
