Farm ID,Year,Specie vegetale,Superficie coltivata,Ore uso macchina per ettaro
2702008010486000001,2008,Frumento duro,15.0,4.92
2702008010486000001,2009,Frumento duro,16.5,0.74
2702008010486000001,2011,Frumento duro,17.0,4.48
2702008010486000001,2012,Frumento duro,20.0,6.85
2702008010486000001,2013,Frumento duro,18.6,4.65
2702008010486000001,2014,Frumento duro,19.5,4.94
2702008010486000001,2016,Frumento duro,15.5,5.84
2702008010503000001,2008,Frumento duro,18.77,0.0
2702008010503000001,2009,Frumento duro,9.14,0.0
2702008010503000001,2010,Frumento duro,22.95,10.02
2702008010503000001,2011,Frumento duro,13.0,15.0
2702008010507000001,2008,Frumento duro,10.4,0.0
2702008010512000001,2008,Frumento duro,120.0,1.15
2702008010515000001,2008,Frumento duro,120.0,0.0
2702008010515000001,2009,Frumento duro,100.0,3.0
2702008010516000001,2008,Frumento duro,50.07,0.0
2702008010520000001,2008,Frumento duro,12.77,2.11
2702008010520000001,2009,Frumento duro,11.15,2.87
2702008010522000001,2008,Frumento duro,20.18,2.0
2702008010524000001,2008,Frumento duro,43.13,2.0
2702008010524000001,2009,Frumento duro,50.0,3.05
2702008010524000001,2010,Frumento duro,49.45,2.86
2702008010524000001,2011,Frumento duro,39.34,20.67
2702008010524000001,2012,Frumento duro,42.55,18.47
2702008010524000001,2013,Frumento duro,50.9,15.72
2702008010527000001,2008,Frumento duro,14.22,0.0
2702008010531000001,2008,Frumento duro,8.96,0.0
2702008010531000001,2009,Frumento duro,9.3,0.0
2702008010532000001,2008,Frumento duro,8.98,1.66
2702008010532000001,2009,Frumento duro,9.62,4.5
2702008010532000001,2010,Frumento duro,5.0,2.36
2702008010535000001,2008,Frumento duro,48.0,0.0
2702008010535000001,2009,Frumento duro,25.0,0.0
2702008010535000001,2011,Frumento duro,22.0,9.0
2702008010536000001,2008,Frumento duro,4.4,13.99
2702008010536000001,2009,Frumento duro,27.9,3.1
2702008010540000001,2008,Frumento duro,13.5,0.0
2702008010541000001,2008,Frumento duro,11.38,0.0
2702008010541000001,2009,Frumento duro,4.79,0.0
2702008010541000001,2010,Frumento duro,5.97,0.0
2702008010543000001,2008,Frumento duro,70.0,7.03
2702008010551000001,2008,Frumento duro,44.89,23.99
2702008010551000001,2009,Frumento duro,55.43,8.47
2702008010553000001,2008,Frumento duro,10.44,5.78
2702008010553000001,2009,Frumento duro,11.53,3.6
2702008010554000001,2008,Frumento duro,92.67,0.0
2702008010554000001,2009,Frumento duro,67.44,0.0
2702008010555000001,2008,Frumento duro,39.34,0.0
